Variable,Index,Value
is_athlete_faster,"Slow3,Slow2,100Free",1
is_athlete_faster,"Slow3,Slow2,200Free",1
is_athlete_faster,"Slow3,Slow2,400Free",0
is_athlete_faster,"Slow3,Slow2,50Free",1
is_athlete_faster,"Slow3,Slow4,100Free",0
is_athlete_faster,"Slow3,Slow4,200Free",1
is_athlete_faster,"Slow3,Slow4,400Free",0
is_athlete_faster,"Slow3,Slow4,50Free",0
is_athlete_faster,"Slow4,Fast1,100Free",0
is_athlete_faster,"Slow4,Fast1,200Free",0
is_athlete_faster,"Slow4,Fast1,400Free",0
is_athlete_faster,"Slow4,Fast1,50Free",0
is_athlete_faster,"Slow4,Fast2,100Free",0
is_athlete_faster,"Slow4,Fast2,200Free",0
is_athlete_faster,"Slow4,Fast2,400Free",0
is_athlete_faster,"Slow4,Fast2,50Free",0
is_athlete_faster,"Slow4,Fast3,100Free",0
is_athlete_faster,"Slow4,Fast3,200Free",0
is_athlete_faster,"Slow4,Fast3,400Free",0
is_athlete_faster,"Slow4,Fast3,50Free",0
is_athlete_faster,"Slow4,Fast4,100Free",0
is_athlete_faster,"Slow4,Fast4,200Free",0
is_athlete_faster,"Slow4,Fast4,400Free",0
is_athlete_faster,"Slow4,Fast4,50Free",0
is_athlete_faster,"Slow4,Slow1,100Free",0
is_athlete_faster,"Slow4,Slow1,200Free",1
is_athlete_faster,"Slow4,Slow1,400Free",1
is_athlete_faster,"Slow4,Slow1,50Free",0
is_athlete_faster,"Slow4,Slow2,100Free",0
is_athlete_faster,"Slow4,Slow2,200Free",1
is_athlete_faster,"Slow4,Slow2,400Free",0
is_athlete_faster,"Slow4,Slow2,50Free",1
is_athlete_faster,"Slow4,Slow3,100Free",0
is_athlete_faster,"Slow4,Slow3,200Free",0
is_athlete_faster,"Slow4,Slow3,400Free",0
is_athlete_faster,"Slow4,Slow3,50Free",0
is_ath_rank_p,"1,100Free,Fast1",1
is_ath_rank_p,"1,100Free,Fast2",0
is_ath_rank_p,"1,100Free,Fast3",0
is_ath_rank_p,"1,100Free,Fast4",0
is_ath_rank_p,"1,100Free,Slow1",0
is_ath_rank_p,"1,100Free,Slow2",0
is_ath_rank_p,"1,100Free,Slow3",0
is_ath_rank_p,"1,100Free,Slow4",0
is_ath_rank_p,"1,200Free,Fast1",0
is_ath_rank_p,"1,200Free,Fast2",0
is_ath_rank_p,"1,200Free,Fast3",1
is_ath_rank_p,"1,200Free,Fast4",0
is_ath_rank_p,"1,200Free,Slow1",0
is_ath_rank_p,"1,200Free,Slow2",0
is_ath_rank_p,"1,200Free,Slow3",0
is_ath_rank_p,"1,200Free,Slow4",0
is_ath_rank_p,"1,400Free,Fast1",0
is_ath_rank_p,"1,400Free,Fast2",0
is_ath_rank_p,"1,400Free,Fast3",1
is_ath_rank_p,"1,400Free,Fast4",0
is_ath_rank_p,"1,400Free,Slow1",0
is_ath_rank_p,"1,400Free,Slow2",0
is_ath_rank_p,"1,400Free,Slow3",0
is_ath_rank_p,"1,400Free,Slow4",0
is_ath_rank_p,"1,50Free,Fast1",0
is_ath_rank_p,"1,50Free,Fast2",1
is_ath_rank_p,"1,50Free,Fast3",0
is_ath_rank_p,"1,50Free,Fast4",0
is_ath_rank_p,"1,50Free,Slow1",0
is_ath_rank_p,"1,50Free,Slow2",0
is_ath_rank_p,"1,50Free,Slow3",0
is_ath_rank_p,"1,50Free,Slow4",0
is_ath_rank_p,"2,100Free,Fast1",0
is_ath_rank_p,"2,100Free,Fast2",0
is_ath_rank_p,"2,100Free,Fast3",1
is_ath_rank_p,"2,100Free,Fast4",0
is_ath_rank_p,"2,100Free,Slow1",0
is_ath_rank_p,"2,100Free,Slow2",0
is_ath_rank_p,"2,100Free,Slow3",0
is_ath_rank_p,"2,100Free,Slow4",0
is_ath_rank_p,"2,200Free,Fast1",0
is_ath_rank_p,"2,200Free,Fast2",0
is_ath_rank_p,"2,200Free,Fast3",0
is_ath_rank_p,"2,200Free,Fast4",1
is_ath_rank_p,"2,200Free,Slow1",0
is_ath_rank_p,"2,200Free,Slow2",0
is_ath_rank_p,"2,200Free,Slow3",0
is_ath_rank_p,"2,200Free,Slow4",0
is_ath_rank_p,"2,400Free,Fast1",0
is_ath_rank_p,"2,400Free,Fast2",1
is_ath_rank_p,"2,400Free,Fast3",0
is_ath_rank_p,"2,400Free,Fast4",0
is_ath_rank_p,"2,400Free,Slow1",0
is_ath_rank_p,"2,400Free,Slow2",0
is_ath_rank_p,"2,400Free,Slow3",0
is_ath_rank_p,"2,400Free,Slow4",0
is_ath_rank_p,"2,50Free,Fast1",1
is_ath_rank_p,"2,50Free,Fast2",0
is_ath_rank_p,"2,50Free,Fast3",0
is_ath_rank_p,"2,50Free,Fast4",0
is_ath_rank_p,"2,50Free,Slow1",0
is_ath_rank_p,"2,50Free,Slow2",0
is_ath_rank_p,"2,50Free,Slow3",0
is_ath_rank_p,"2,50Free,Slow4",0
is_ath_rank_p,"3,100Free,Fast1",0
is_ath_rank_p,"3,100Free,Fast2",0
is_ath_rank_p,"3,100Free,Fast3",0
is_ath_rank_p,"3,100Free,Fast4",1
is_ath_rank_p,"3,100Free,Slow1",0
is_ath_rank_p,"3,100Free,Slow2",0
is_ath_rank_p,"3,100Free,Slow3",0
is_ath_rank_p,"3,100Free,Slow4",0
is_ath_rank_p,"3,200Free,Fast1",0
is_ath_rank_p,"3,200Free,Fast2",1
is_ath_rank_p,"3,200Free,Fast3",0
is_ath_rank_p,"3,200Free,Fast4",0
is_ath_rank_p,"3,200Free,Slow1",0
is_ath_rank_p,"3,200Free,Slow2",0
is_ath_rank_p,"3,200Free,Slow3",0
is_ath_rank_p,"3,200Free,Slow4",0
is_ath_rank_p,"3,400Free,Fast1",1
is_ath_rank_p,"3,400Free,Fast2",0
is_ath_rank_p,"3,400Free,Fast3",0
is_ath_rank_p,"3,400Free,Fast4",0
is_ath_rank_p,"3,400Free,Slow1",0
is_ath_rank_p,"3,400Free,Slow2",0
is_ath_rank_p,"3,400Free,Slow3",0
is_ath_rank_p,"3,400Free,Slow4",0
is_ath_rank_p,"3,50Free,Fast1",0
is_ath_rank_p,"3,50Free,Fast2",0
is_ath_rank_p,"3,50Free,Fast3",0
is_ath_rank_p,"3,50Free,Fast4",1
is_ath_rank_p,"3,50Free,Slow1",0
is_ath_rank_p,"3,50Free,Slow2",0
is_ath_rank_p,"3,50Free,Slow3",0
is_ath_rank_p,"3,50Free,Slow4",0
is_ath_rank_p,"4,100Free,Fast1",0
is_ath_rank_p,"4,100Free,Fast2",0
is_ath_rank_p,"4,100Free,Fast3",0
is_ath_rank_p,"4,100Free,Fast4",0
is_ath_rank_p,"4,100Free,Slow1",0
is_ath_rank_p,"4,100Free,Slow2",0
is_ath_rank_p,"4,100Free,Slow3",0
is_ath_rank_p,"4,100Free,Slow4",0
is_ath_rank_p,"4,200Free,Fast1",0
is_ath_rank_p,"4,200Free,Fast2",0
is_ath_rank_p,"4,200Free,Fast3",0
is_ath_rank_p,"4,200Free,Fast4",0
is_ath_rank_p,"4,200Free,Slow1",0
is_ath_rank_p,"4,200Free,Slow2",0
is_ath_rank_p,"4,200Free,Slow3",0
is_ath_rank_p,"4,200Free,Slow4",0
is_ath_rank_p,"4,400Free,Fast1",0
is_ath_rank_p,"4,400Free,Fast2",0
is_ath_rank_p,"4,400Free,Fast3",0
is_ath_rank_p,"4,400Free,Fast4",0
is_ath_rank_p,"4,400Free,Slow1",0
is_ath_rank_p,"4,400Free,Slow2",0
is_ath_rank_p,"4,400Free,Slow3",0
is_ath_rank_p,"4,400Free,Slow4",0
is_ath_rank_p,"4,50Free,Fast1",0
is_ath_rank_p,"4,50Free,Fast2",0
is_ath_rank_p,"4,50Free,Fast3",0
is_ath_rank_p,"4,50Free,Fast4",0
is_ath_rank_p,"4,50Free,Slow1",0
is_ath_rank_p,"4,50Free,Slow2",0
is_ath_rank_p,"4,50Free,Slow3",0
is_ath_rank_p,"4,50Free,Slow4",0
is_ath_rank_p,"5,100Free,Fast1",0
is_ath_rank_p,"5,100Free,Fast2",0
is_ath_rank_p,"5,100Free,Fast3",0
is_ath_rank_p,"5,100Free,Fast4",0
is_ath_rank_p,"5,100Free,Slow1",0
is_ath_rank_p,"5,100Free,Slow2",0
is_ath_rank_p,"5,100Free,Slow3",1
is_ath_rank_p,"5,100Free,Slow4",0
is_ath_rank_p,"5,200Free,Fast1",0
is_ath_rank_p,"5,200Free,Fast2",0
is_ath_rank_p,"5,200Free,Fast3",0
is_ath_rank_p,"5,200Free,Fast4",0
is_ath_rank_p,"5,200Free,Slow1",0
is_ath_rank_p,"5,200Free,Slow2",0
is_ath_rank_p,"5,200Free,Slow3",1
is_ath_rank_p,"5,200Free,Slow4",0
is_ath_rank_p,"5,400Free,Fast1",0
is_ath_rank_p,"5,400Free,Fast2",0
is_ath_rank_p,"5,400Free,Fast3",0
is_ath_rank_p,"5,400Free,Fast4",0
is_ath_rank_p,"5,400Free,Slow1",0
is_ath_rank_p,"5,400Free,Slow2",0
is_ath_rank_p,"5,400Free,Slow3",0
is_ath_rank_p,"5,400Free,Slow4",0
is_ath_rank_p,"5,50Free,Fast1",0
is_ath_rank_p,"5,50Free,Fast2",0
is_ath_rank_p,"5,50Free,Fast3",0
is_ath_rank_p,"5,50Free,Fast4",0
is_ath_rank_p,"5,50Free,Slow1",1
is_ath_rank_p,"5,50Free,Slow2",0
is_ath_rank_p,"5,50Free,Slow3",0
is_ath_rank_p,"5,50Free,Slow4",0
is_ath_rank_p,"6,100Free,Fast1",0
is_ath_rank_p,"6,100Free,Fast2",0
is_ath_rank_p,"6,100Free,Fast3",0
is_ath_rank_p,"6,100Free,Fast4",0
is_ath_rank_p,"6,100Free,Slow1",0
is_ath_rank_p,"6,100Free,Slow2",0
is_ath_rank_p,"6,100Free,Slow3",0
is_ath_rank_p,"6,100Free,Slow4",0
is_ath_rank_p,"6,200Free,Fast1",0
is_ath_rank_p,"6,200Free,Fast2",0
is_ath_rank_p,"6,200Free,Fast3",0
is_ath_rank_p,"6,200Free,Fast4",0
is_ath_rank_p,"6,200Free,Slow1",0
is_ath_rank_p,"6,200Free,Slow2",0
is_ath_rank_p,"6,200Free,Slow3",0
is_ath_rank_p,"6,200Free,Slow4",0
is_ath_rank_p,"6,400Free,Fast1",0
is_ath_rank_p,"6,400Free,Fast2",0
is_ath_rank_p,"6,400Free,Fast3",0
is_ath_rank_p,"6,400Free,Fast4",0
is_ath_rank_p,"6,400Free,Slow1",0
is_ath_rank_p,"6,400Free,Slow2",0
is_ath_rank_p,"6,400Free,Slow3",0
is_ath_rank_p,"6,400Free,Slow4",1
is_ath_rank_p,"6,50Free,Fast1",0
is_ath_rank_p,"6,50Free,Fast2",0
is_ath_rank_p,"6,50Free,Fast3",0
is_ath_rank_p,"6,50Free,Fast4",0
is_ath_rank_p,"6,50Free,Slow1",0
is_ath_rank_p,"6,50Free,Slow2",0
is_ath_rank_p,"6,50Free,Slow3",0
is_ath_rank_p,"6,50Free,Slow4",1
is_ath_rank_p,"7,100Free,Fast1",0
is_ath_rank_p,"7,100Free,Fast2",0
is_ath_rank_p,"7,100Free,Fast3",0
is_ath_rank_p,"7,100Free,Fast4",0
is_ath_rank_p,"7,100Free,Slow1",0
is_ath_rank_p,"7,100Free,Slow2",1
is_ath_rank_p,"7,100Free,Slow3",0
is_ath_rank_p,"7,100Free,Slow4",0
is_ath_rank_p,"7,200Free,Fast1",0
is_ath_rank_p,"7,200Free,Fast2",0
is_ath_rank_p,"7,200Free,Fast3",0
is_ath_rank_p,"7,200Free,Fast4",0
is_ath_rank_p,"7,200Free,Slow1",0
is_ath_rank_p,"7,200Free,Slow2",1
is_ath_rank_p,"7,200Free,Slow3",0
is_ath_rank_p,"7,200Free,Slow4",0
is_ath_rank_p,"7,400Free,Fast1",0
is_ath_rank_p,"7,400Free,Fast2",0
is_ath_rank_p,"7,400Free,Fast3",0
is_ath_rank_p,"7,400Free,Fast4",0
is_ath_rank_p,"7,400Free,Slow1",0
is_ath_rank_p,"7,400Free,Slow2",0
is_ath_rank_p,"7,400Free,Slow3",1
is_ath_rank_p,"7,400Free,Slow4",0
is_ath_rank_p,"7,50Free,Fast1",0
is_ath_rank_p,"7,50Free,Fast2",0
is_ath_rank_p,"7,50Free,Fast3",0
is_ath_rank_p,"7,50Free,Fast4",0
is_ath_rank_p,"7,50Free,Slow1",0
is_ath_rank_p,"7,50Free,Slow2",1
is_ath_rank_p,"7,50Free,Slow3",0
is_ath_rank_p,"7,50Free,Slow4",0
is_ath_rank_p,"8,100Free,Fast1",0
is_ath_rank_p,"8,100Free,Fast2",1
is_ath_rank_p,"8,100Free,Fast3",0
is_ath_rank_p,"8,100Free,Fast4",0
is_ath_rank_p,"8,100Free,Slow1",1
is_ath_rank_p,"8,100Free,Slow2",0
is_ath_rank_p,"8,100Free,Slow3",0
is_ath_rank_p,"8,100Free,Slow4",1
is_ath_rank_p,"8,200Free,Fast1",1
is_ath_rank_p,"8,200Free,Fast2",0
is_ath_rank_p,"8,200Free,Fast3",0
is_ath_rank_p,"8,200Free,Fast4",0
is_ath_rank_p,"8,200Free,Slow1",1
is_ath_rank_p,"8,200Free,Slow2",0
is_ath_rank_p,"8,200Free,Slow3",0
is_ath_rank_p,"8,200Free,Slow4",1
is_ath_rank_p,"8,400Free,Fast1",0
is_ath_rank_p,"8,400Free,Fast2",0
is_ath_rank_p,"8,400Free,Fast3",0
is_ath_rank_p,"8,400Free,Fast4",1
is_ath_rank_p,"8,400Free,Slow1",1
is_ath_rank_p,"8,400Free,Slow2",1
is_ath_rank_p,"8,400Free,Slow3",0
is_ath_rank_p,"8,400Free,Slow4",0
is_ath_rank_p,"8,50Free,Fast1",0
is_ath_rank_p,"8,50Free,Fast2",0
is_ath_rank_p,"8,50Free,Fast3",1
is_ath_rank_p,"8,50Free,Fast4",0
is_ath_rank_p,"8,50Free,Slow1",0
is_ath_rank_p,"8,50Free,Slow2",0
is_ath_rank_p,"8,50Free,Slow3",1
is_ath_rank_p,"8,50Free,Slow4",0
placement_solo,"100Free,Fast1",1
placement_solo,"100Free,Fast2",8
placement_solo,"100Free,Fast3",2
placement_solo,"100Free,Fast4",3
placement_solo,"100Free,Slow1",8
placement_solo,"100Free,Slow2",7
placement_solo,"100Free,Slow3",5
placement_solo,"100Free,Slow4",8
placement_solo,"200Free,Fast1",8
placement_solo,"200Free,Fast2",3
placement_solo,"200Free,Fast3",1
placement_solo,"200Free,Fast4",2
placement_solo,"200Free,Slow1",8
placement_solo,"200Free,Slow2",7
placement_solo,"200Free,Slow3",5
placement_solo,"200Free,Slow4",8
placement_solo,"400Free,Fast1",3
placement_solo,"400Free,Fast2",2
placement_solo,"400Free,Fast3",1
placement_solo,"400Free,Fast4",8
placement_solo,"400Free,Slow1",8
placement_solo,"400Free,Slow2",8
placement_solo,"400Free,Slow3",7
placement_solo,"400Free,Slow4",6
placement_solo,"50Free,Fast1",2
placement_solo,"50Free,Fast2",1
placement_solo,"50Free,Fast3",8
placement_solo,"50Free,Fast4",3
placement_solo,"50Free,Slow1",5
placement_solo,"50Free,Slow2",7
placement_solo,"50Free,Slow3",8
placement_solo,"50Free,Slow4",6
athlete_swims_event_rel,"Fast1,200FreeRelay,A",0
athlete_swims_event_rel,"Fast1,200FreeRelay,B",0
athlete_swims_event_rel,"Fast1,400FreeRelay,A",0
athlete_swims_event_rel,"Fast1,400FreeRelay,B",0
athlete_swims_event_rel,"Fast2,200FreeRelay,A",0
athlete_swims_event_rel,"Fast2,200FreeRelay,B",0
athlete_swims_event_rel,"Fast2,400FreeRelay,A",0
athlete_swims_event_rel,"Fast2,400FreeRelay,B",0
athlete_swims_event_rel,"Fast3,200FreeRelay,A",0
athlete_swims_event_rel,"Fast3,200FreeRelay,B",0
athlete_swims_event_rel,"Fast3,400FreeRelay,A",0
athlete_swims_event_rel,"Fast3,400FreeRelay,B",0
athlete_swims_event_rel,"Fast4,200FreeRelay,A",0
athlete_swims_event_rel,"Fast4,200FreeRelay,B",0
athlete_swims_event_rel,"Fast4,400FreeRelay,A",0
athlete_swims_event_rel,"Fast4,400FreeRelay,B",0
athlete_swims_event_rel,"Slow1,200FreeRelay,A",0
athlete_swims_event_rel,"Slow1,200FreeRelay,B",0
athlete_swims_event_rel,"Slow1,400FreeRelay,A",0
athlete_swims_event_rel,"Slow1,400FreeRelay,B",0
athlete_swims_event_rel,"Slow2,200FreeRelay,A",0
athlete_swims_event_rel,"Slow2,200FreeRelay,B",0
